symbol,date,3m_mom,6m_mom,12m_mom,name,weight
AAPL,2026-01-16,0.03365409601696867,0.21255798444914387,0.07910078446483837,Apple Inc.,7.5492
ABNB,2026-01-16,0.06322731150664684,-0.06229361923286425,-0.014035621418539979,"""Airbnb, Inc. Class A""",0.3219
ADBE,2026-01-16,-0.10056803682613125,-0.190464506411411,-0.2903566047175723,Adobe Inc.,0.701
ADI,2026-01-16,0.2470943075750589,0.25078401309951515,0.3985954897654074,"""Analog Devices, Inc.""",0.7836
ADP,2026-01-16,-0.06437926432155339,-0.12692604256406625,-0.09257065910789042,"""Automatic Data Processing, Inc.""",0.5617
ADSK,2026-01-16,-0.11383498115222535,-0.10551121592663537,-0.08678765308350889,"""Autodesk, Inc.""",0.31
AEP,2026-01-16,0.028723784006303932,0.13503475726079417,0.30509446278080454,"""American Electric Power Company, Inc.""",0.3365
ALNY,2026-01-16,-0.2531856412916206,0.12086229177272645,0.4312975454205972,"""Alnylam Pharmaceuticals, Inc""",0.2641
AMAT,2026-01-16,0.43883278452374386,0.7254257241220898,0.8515720401401363,"""Applied Materials, Inc.""",1.3122
AMD,2026-01-16,-0.011638795003214741,0.4767182223020525,0.9325608836309356,"""Advanced Micro Devices, Inc.""",1.9437
AMGN,2026-01-16,0.12493359365624479,0.13809915799452144,0.2685541514373775,Amgen Inc.,0.9435
AMZN,2026-01-16,0.11493446055944201,0.057444788192114515,0.07060662002562479,"""Amazon.com, Inc.""",5.0756
APP,2026-01-16,-0.06095625306533681,0.5605554055327033,0.6976390527353917,AppLovin Corp. Class A,1.1112
ARM,2026-01-16,-0.3820900912978108,-0.32512444129070617,-0.28236090122511315,ARM Holdings PLC Sponsored ADR,0.0806
ASML,2026-01-16,0.3348309105796583,0.8574320488579144,0.8884100400235377,ASML Holding NV Sponsored ADR,0.6021
AVGO,2026-01-16,-0.004989542525981827,0.24580613959457365,0.5565269565000124,Broadcom Inc.,3.2773
AXON,2026-01-16,-0.02473282319869452,-0.158777453165737,0.09662065177128243,Axon Enterprise Inc,0.2735
AZN,2026-01-16,0.12596919155358788,0.38168940894932457,0.4677837364694113,AstraZeneca PLC Sponsored ADR,0.2981
BKNG,2026-01-16,0.03501158702249518,-0.09966460147934197,0.06714431261038856,Booking Holdings Inc.,0.9256
BKR,2026-01-16,0.1647820387673049,0.31597831877791105,0.15608655391416715,Baker Hughes Company Class A,0.2611
CCEP,2026-01-16,0.015963943642800515,-0.06334919705657438,0.2107881573163366,Coca-Cola Europacific Partners plc,0.2215
CDNS,2026-01-16,-0.020971434982170356,0.0059574891123317375,0.05563318342117762,"""Cadence Design Systems, Inc.""",0.4751
CEG,2026-01-16,-0.22310274842369393,-0.04040056142477333,0.028805834018571952,Constellation Energy Corporation,0.5628
CHTR,2026-01-16,-0.25683403607585575,-0.5033500806749394,-0.454712659463115,"""Charter Communications, Inc. Class A""",0.1384
CMCSA,2026-01-16,0.026381503069146772,-0.12128869776042572,-0.1532421420999528,Comcast Corporation Class A,0.5592
COST,2026-01-16,0.04251557372843617,0.0161523950607938,0.04887729477405811,Costco Wholesale Corporation,2.2554
CPRT,2026-01-16,-0.06854290430400178,-0.10743798773140911,-0.27234042898569233,"""Copart, Inc.""",0.2085
CRWD,2026-01-16,-0.05878938568242564,-0.046390425600193685,0.2537429386687029,"""CrowdStrike Holdings, Inc. Class A""",0.6346
CSCO,2026-01-16,0.09411423554692488,0.11754282874873301,0.28404314538522546,"""Cisco Systems, Inc.""",1.6111
CSGP,2026-01-16,-0.12118362234219238,-0.22857144401294271,-0.10762093350777502,"""CoStar Group, Inc.""",0.1416
CSX,2026-01-16,0.010947233233664644,0.06220979233594681,0.1346500860146942,CSX Corporation,0.3585
CTAS,2026-01-16,0.0625358253017041,-0.1155802148386017,0.006740903361073691,Cintas Corporation,0.4184
CTSH,2026-01-16,0.2999956928365082,0.1296156737638854,0.10710070861360443,Cognizant Technology Solutions Corporation Class A,0.2203
DASH,2026-01-16,-0.23005963555831532,-0.14153109129020247,0.19936914770764314,"""DoorDash, Inc. Class A""",0.4773
DDOG,2026-01-16,-0.21267448511806253,-0.17928566310442384,-0.15558709315352892,"""Datadog, Inc. Class A""",0.2207
DXCM,2026-01-16,0.04839437653942258,-0.17105732004441765,-0.1350746318935825,"""DexCom, Inc.""",0.148
EA,2026-01-16,0.02041986564427445,0.3634460092012577,0.44394528473138695,Electronic Arts Inc.,0.2761
EXC,2026-01-16,-0.04728529917881308,0.048902126777984334,0.21925450137967695,Exelon Corporation,0.2365
FANG,2026-01-16,0.09238447959694218,0.08522384586369136,-0.13357624658649025,"""Diamondback Energy, Inc.""",0.2341
FAST,2026-01-16,0.047840395910433875,-0.040923954051723554,0.20288778782674743,Fastenal Company,0.2631
FER,2026-01-16,0.09196175064981804,0.2971156712268388,0.7126419783263298,Ferrovial SE,0.2686
FTNT,2026-01-16,-0.0933365671541807,-0.28495543006352053,-0.18998496420595612,"""Fortinet, Inc.""",0.3147
GEHC,2026-01-16,0.1150114220882259,0.07763098782860656,-0.021042522120595097,GE Healthcare Technologies Inc.,0.2086
GILD,2026-01-16,0.06690718915881488,0.1699147020474039,0.38993356638399423,"""Gilead Sciences, Inc.""",0.8162
GOOG,2026-01-16,0.31235317669958595,0.7793426188203052,0.6835518548988084,Alphabet Inc. Class C,3.5601
GOOGL,2026-01-16,0.3131943765555827,0.785967897653818,0.6941571503784909,Alphabet Inc. Class A,3.8254
HON,2026-01-16,0.1525666674442394,-0.004878729755676714,0.08342389531090677,Honeywell International Inc.,0.7213
IDXX,2026-01-16,0.12243067275517872,0.39012070398998033,0.6915018736502168,"""IDEXX Laboratories, Inc.""",0.3081
INSM,2026-01-16,-0.010846278852753022,0.5739079759311043,1.299430273308399,Insmed Incorporated,0.1887
INTC,2026-01-16,0.2747013813780852,1.0329003596962214,1.3813387788847993,Intel Corporation,1.2187
INTU,2026-01-16,-0.15563723602295743,-0.2728263880246463,-0.11659745847137482,Intuit Inc.,0.91
ISRG,2026-01-16,0.2309603930112485,0.03158382830787554,-0.07776109098384953,"""Intuitive Surgical, Inc.""",1.0761
KDP,2026-01-16,-0.0029964773647706,-0.16857441226073144,-0.08713925579668724,Keurig Dr Pepper Inc.,0.2035
KHC,2026-01-16,-0.04880646057686766,-0.1281632490949829,-0.1319926621998737,Kraft Heinz Company,0.1503
KLAC,2026-01-16,0.4292412900402869,0.690295827212545,1.2076380166843337,KLA Corporation,1.0235
LIN,2026-01-16,-0.00824631892528127,-0.04952175891696087,0.03946573587782676,Linde plc,1.1174
LRCX,2026-01-16,0.5686385168048396,1.2230086511065212,1.9547193256596822,Lam Research Corporation,1.4548
MAR,2026-01-16,0.26100244065689426,0.20141864670069465,0.19203492414790224,"""Marriott International, Inc. Class A""",0.4683
MCHP,2026-01-16,0.15338591047435934,0.01492648397997276,0.3518887596750715,Microchip Technology Incorporated,0.2163
MDLZ,2026-01-16,-0.062224356843050055,-0.16585209358568032,0.04251929235440466,"""Mondelez International, Inc. Class A""",0.39
MELI,2026-01-16,0.01563828289701208,-0.1402735570150181,0.1288578093222097,"""MercadoLibre, Inc.""",0.568
META,2026-01-16,-0.12823761212958895,-0.11800019163765485,0.008241202201146214,Meta Platforms Inc Class A,3.6273
MNST,2026-01-16,0.1141675326217495,0.324915223202463,0.5868859283897818,Monster Beverage Corporation,0.414
MPWR,2026-01-16,0.007876190163175423,0.42951528438747566,0.7292977945537022,"""Monolithic Power Systems, Inc.""",0.2545
MRVL,2026-01-16,-0.0874091653911574,0.07931944880683406,-0.30406228010778336,"""Marvell Technology, Inc.""",0.3868
MSFT,2026-01-16,-0.09946896926203475,-0.09522977784612008,0.0866559683900614,Microsoft Corporation,6.8462
MSTR,2026-01-16,-0.3880002502991925,-0.5895515188014946,-0.5183017884035571,Strategy Inc Class A,0.2502
