date,symbol,close
2021-01-19,AAPL,124.43640899658203
2021-01-20,AAPL,128.52493286132812
2021-01-21,AAPL,133.2364044189453
2021-01-22,AAPL,135.37799072265625
2021-01-25,AAPL,139.12582397460938
2021-01-26,AAPL,139.35943603515625
2021-01-27,AAPL,138.2886199951172
2021-01-28,AAPL,133.45057678222656
2021-01-29,AAPL,128.45677185058594
2021-02-01,AAPL,130.5789031982422
2021-02-02,AAPL,131.40635681152344
2021-02-03,AAPL,130.3842315673828
2021-02-04,AAPL,133.74261474609375
2021-02-05,AAPL,133.32827758789062
2021-02-08,AAPL,133.47451782226562
2021-02-09,AAPL,132.59706115722656
2021-02-10,AAPL,131.99267578125
2021-02-11,AAPL,131.73915100097656
2021-02-12,AAPL,131.97312927246094
2021-02-16,AAPL,129.84786987304688
2021-02-17,AAPL,127.55681610107422
2021-02-18,AAPL,126.45516967773438
2021-02-19,AAPL,126.61116027832031
2021-02-22,AAPL,122.83824920654297
2021-02-23,AAPL,122.7018051147461
2021-02-24,AAPL,122.20457458496094
2021-02-25,AAPL,117.9540023803711
2021-02-26,AAPL,118.21720886230469
2021-03-01,AAPL,124.5833511352539
2021-03-02,AAPL,121.98037719726562
2021-03-03,AAPL,118.99714660644531
2021-03-04,AAPL,117.11557006835938
2021-03-05,AAPL,118.37319946289062
2021-03-08,AAPL,113.44017791748047
2021-03-09,AAPL,118.05147552490234
2021-03-10,AAPL,116.96934509277344
2021-03-11,AAPL,118.899658203125
2021-03-12,AAPL,117.99300384521484
2021-03-15,AAPL,120.87871551513672
2021-03-16,AAPL,122.4190673828125
2021-03-17,AAPL,121.62937927246094
2021-03-18,AAPL,117.50553131103516
2021-03-19,AAPL,116.97906494140625
2021-03-22,AAPL,120.29375457763672
2021-03-23,AAPL,119.46508026123047
2021-03-24,AAPL,117.07655334472656
2021-03-25,AAPL,117.56404113769531
2021-03-26,AAPL,118.16847229003906
2021-03-29,AAPL,118.34395599365234
2021-03-30,AAPL,116.89132690429688
2021-03-31,AAPL,119.08487701416016
2021-04-01,AAPL,119.91353607177734
2021-04-05,AAPL,122.74079132080078
2021-04-06,AAPL,123.04299926757812
2021-04-07,AAPL,124.69061279296875
2021-04-08,AAPL,127.08885192871094
2021-04-09,AAPL,129.66262817382812
2021-04-12,AAPL,127.94677734375
2021-04-13,AAPL,131.05673217773438
2021-04-14,AAPL,128.7169952392578
2021-04-15,AAPL,131.1249542236328
2021-04-16,AAPL,130.79351806640625
2021-04-19,AAPL,131.45645141601562
2021-04-20,AAPL,129.76988220214844
2021-04-21,AAPL,130.15008544921875
2021-04-22,AAPL,128.6292266845703
2021-04-23,AAPL,130.94949340820312
2021-04-26,AAPL,131.3394775390625
2021-04-27,AAPL,131.0177459716797
2021-04-28,AAPL,130.22808837890625
2021-04-29,AAPL,130.1305694580078
2021-04-30,AAPL,128.1613006591797
2021-05-03,AAPL,129.21414184570312
2021-05-04,AAPL,124.64186096191406
2021-05-05,AAPL,124.88558197021484
2021-05-06,AAPL,126.48443603515625
2021-05-07,AAPL,127.15828704833984
2021-05-10,AAPL,123.87698364257812
2021-05-11,AAPL,122.95903015136719
2021-05-12,AAPL,119.89264678955078
2021-05-13,AAPL,122.04108428955078
2021-05-14,AAPL,124.46293640136719
2021-05-17,AAPL,123.31059265136719
2021-05-18,AAPL,121.92388153076172
2021-05-19,AAPL,121.76761627197266
2021-05-20,AAPL,124.32623291015625
2021-05-21,AAPL,122.49028015136719
2021-05-24,AAPL,124.12113189697266
2021-05-25,AAPL,123.92581939697266
2021-05-26,AAPL,123.87698364257812
2021-05-27,AAPL,122.34379577636719
2021-05-28,AAPL,121.68949890136719
2021-06-01,AAPL,121.36723327636719
2021-06-02,AAPL,122.12895965576172
2021-06-03,AAPL,120.64458465576172
2021-06-04,AAPL,122.93951416015625
2021-06-07,AAPL,122.94926452636719
2021-06-08,AAPL,123.76957702636719
2021-06-09,AAPL,124.15042877197266
2021-06-10,AAPL,123.15435028076172
2021-06-11,AAPL,124.36527252197266
2021-06-14,AAPL,127.42190551757812
2021-06-15,AAPL,126.60160827636719
2021-06-16,AAPL,127.09965515136719
2021-06-17,AAPL,128.70120239257812
2021-06-18,AAPL,127.40243530273438
2021-06-21,AAPL,129.19924926757812
2021-06-22,AAPL,130.8398895263672
2021-06-23,AAPL,130.56649780273438
2021-06-24,AAPL,130.28326416015625
2021-06-25,AAPL,129.9902801513672
2021-06-28,AAPL,131.6211395263672
2021-06-29,AAPL,133.1348419189453
2021-06-30,AAPL,133.75003051757812
2021-07-01,AAPL,134.05279541015625
2021-07-02,AAPL,136.6797332763672
2021-07-06,AAPL,138.69146728515625
2021-07-07,AAPL,141.1817169189453
2021-07-08,AAPL,139.88290405273438
2021-07-09,AAPL,141.70909118652344
2021-07-12,AAPL,141.11334228515625
2021-07-13,AAPL,142.2266387939453
2021-07-14,AAPL,145.65431213378906
2021-07-15,AAPL,145.0000457763672
2021-07-16,AAPL,142.9590606689453
2021-07-19,AAPL,139.11141967773438
2021-07-20,AAPL,142.72463989257812
2021-07-21,AAPL,141.99224853515625
2021-07-22,AAPL,143.3594512939453
2021-07-23,AAPL,145.0781707763672
2021-07-26,AAPL,145.49810791015625
2021-07-27,AAPL,143.33009338378906
2021-07-28,AAPL,141.58206176757812
2021-07-29,AAPL,142.2266387939453
2021-07-30,AAPL,142.4414825439453
2021-08-02,AAPL,142.10943603515625
2021-08-03,AAPL,143.90631103515625
2021-08-04,AAPL,143.50587463378906
2021-08-05,AAPL,143.61337280273438
2021-08-06,AAPL,142.92872619628906
2021-08-09,AAPL,142.87982177734375
2021-08-10,AAPL,142.40060424804688
2021-08-11,AAPL,142.65489196777344
2021-08-12,AAPL,145.61831665039062
2021-08-13,AAPL,145.8236846923828
2021-08-16,AAPL,147.79930114746094
2021-08-17,AAPL,146.88973999023438
2021-08-18,AAPL,143.1439208984375
2021-08-19,AAPL,143.47640991210938
2021-08-20,AAPL,144.9336700439453
2021-08-23,AAPL,146.42027282714844
2021-08-24,AAPL,146.33224487304688
2021-08-25,AAPL,145.09991455078125
2021-08-26,AAPL,144.2979736328125
2021-08-27,AAPL,145.33468627929688
2021-08-30,AAPL,149.7553253173828
2021-08-31,AAPL,148.49366760253906
2021-09-01,AAPL,149.1587677001953
2021-09-02,AAPL,150.27371215820312
2021-09-03,AAPL,150.90945434570312
2021-09-07,AAPL,153.2469024658203
2021-09-08,AAPL,151.7016143798828
2021-09-09,AAPL,150.68446350097656
2021-09-10,AAPL,145.69654846191406
2021-09-13,AAPL,146.26377868652344
2021-09-14,AAPL,144.86520385742188
2021-09-15,AAPL,145.7552490234375
2021-09-16,AAPL,145.52049255371094
2021-09-17,AAPL,142.8505096435547
2021-09-20,AAPL,139.79904174804688
2021-09-21,AAPL,140.2782745361328
2021-09-22,AAPL,142.6450958251953
2021-09-23,AAPL,143.60354614257812
2021-09-24,AAPL,143.6915740966797
2021-09-27,AAPL,142.17564392089844
2021-09-28,AAPL,138.79168701171875
2021-09-29,AAPL,139.69143676757812
2021-09-30,AAPL,138.3906707763672
2021-10-01,AAPL,139.51544189453125
2021-10-04,AAPL,136.0825653076172
2021-10-05,AAPL,138.00926208496094
2021-10-06,AAPL,138.8797607421875
2021-10-07,AAPL,140.141357421875
2021-10-08,AAPL,139.75991821289062
2021-10-11,AAPL,139.67189025878906
2021-10-12,AAPL,138.40042114257812
2021-10-13,AAPL,137.8136444091797
2021-10-14,AAPL,140.60101318359375
2021-10-15,AAPL,141.6572723388672
2021-10-18,AAPL,143.32974243164062
2021-10-19,AAPL,145.49114990234375
2021-10-20,AAPL,145.9801483154297
2021-10-21,AAPL,146.19532775878906
2021-10-22,AAPL,145.42271423339844
2021-10-25,AAPL,145.37374877929688
2021-10-26,AAPL,146.038818359375
2021-10-27,AAPL,145.5792236328125
2021-10-28,AAPL,149.2174530029297
2021-10-29,AAPL,146.50830078125
2021-11-01,AAPL,145.686767578125
2021-11-02,AAPL,146.72349548339844
2021-11-03,AAPL,148.16116333007812
2021-11-04,AAPL,147.64285278320312
2021-11-05,AAPL,148.17169189453125
2021-11-08,AAPL,147.34896850585938
2021-11-09,AAPL,147.7113494873047
2021-11-10,AAPL,144.88076782226562
2021-11-11,AAPL,144.83177185058594
2021-11-12,AAPL,146.908203125
2021-11-15,AAPL,146.9180145263672
2021-11-16,AAPL,147.89744567871094
2021-11-17,AAPL,150.33631896972656
2021-11-18,AAPL,154.62631225585938
2021-11-19,AAPL,157.2512664794922
